                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.265,                 29.188,                 2.0085,                0.00029,                0.77778,                0.00086,                0.00024,                 2.0469,                 55.759,                 1.9468,                0.00066,                0.00066,                0.00066
                      2,                 2.5854,                 15.724,                 2.3971,                0.00026,                0.68889,                0.00049,                0.00016,                 2.1175,                 21.046,                 1.9383,              0.0013179,              0.0013179,              0.0013179
                      3,                  2.818,                 10.318,                   2.36,                0.00018,                0.31111,                0.00014,                  6e-05,                 2.6113,                    nan,                 97.565,               0.001967,               0.001967,               0.001967
                      4,                 2.9987,                 5.9793,                 2.4824,                0.00039,                0.02222,                 0.0002,                  2e-05,                 2.3027,                 3.1887,                   13.7,              0.0019604,              0.0019604,              0.0019604
                      5,                 2.8321,                 5.1435,                 2.3916,                0.00039,                0.02222,                 0.0002,                  2e-05,                 2.5534,                 3.4956,                 4.1594,              0.0019604,              0.0019604,              0.0019604
                      6,                 3.0435,                 5.1163,                  2.534,                0.00039,                0.02222,                 0.0002,                  2e-05,                 2.0762,                 3.6038,                   1.68,              0.0019472,              0.0019472,              0.0019472
                      7,                 2.9909,                 4.8362,                  2.428,                0.00039,                0.02222,                 0.0002,                  2e-05,                  2.301,                 3.5244,                 1.9605,               0.001934,               0.001934,               0.001934
                      8,                 2.8395,                 5.0637,                 2.4186,                0.00039,                0.02222,                 0.0002,                  2e-05,                  2.164,                   3.45,                 1.7967,              0.0019208,              0.0019208,              0.0019208
                      9,                 3.0325,                 5.1398,                 2.4543,                0.00039,                0.02222,                 0.0002,                  2e-05,                  2.001,                  3.241,                 1.6516,              0.0019076,              0.0019076,              0.0019076
                     10,                 2.8071,                 4.7676,                  2.261,                0.00039,                0.02222,                 0.0002,                  2e-05,                 2.1843,                 3.4859,                 1.7739,              0.0018944,              0.0018944,              0.0018944
                     11,                  2.875,                 4.8794,                  2.351,                0.00104,                0.02222,                0.00085,                  9e-05,                 2.1699,                 3.3872,                 1.7893,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.7877,                 4.6721,                 2.3228,                0.00104,                0.02222,                0.00085,                  9e-05,                 2.2196,                 3.2327,                 1.7161,               0.001868,               0.001868,               0.001868
                     13,                 2.7713,                  4.843,                  2.241,                0.00104,                0.02222,                0.00085,                  9e-05,                  2.071,                  3.293,                 1.7494,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.7753,                 4.7917,                  2.256,                0.00104,                0.02222,                0.00085,                  9e-05,                 2.1389,                 3.3776,                 1.7401,              0.0018416,              0.0018416,              0.0018416
                     15,                 2.7267,                 4.6427,                 2.2112,                0.00104,                0.02222,                0.00085,                  9e-05,                 2.0715,                  3.377,                 1.7198,              0.0018284,              0.0018284,              0.0018284
                     16,                 2.6034,                 4.4861,                 2.1638,                0.00352,                0.33333,                0.00261,                0.00076,                 2.1258,                 3.5825,                 1.6474,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.7264,                 4.6591,                 2.2079,                0.00352,                0.33333,                0.00261,                0.00076,                 2.1652,                 3.4059,                 1.6676,               0.001802,               0.001802,               0.001802
                     18,                 2.6587,                 4.7258,                  2.216,                0.00111,                0.15556,                0.04577,                0.00588,                 2.0661,                 4.0522,                 1.6428,              0.0017888,              0.0017888,              0.0017888
                     19,                  2.717,                 4.5667,                 2.2478,                0.00138,                0.02222,                 0.0012,                0.00024,                 2.1158,                 3.1858,                 1.6787,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.6324,                 4.4751,                  2.198,                0.00578,                0.28889,                0.00847,                0.00269,                 2.1699,                 3.3503,                 1.6756,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.8478,                 4.6481,                 2.2803,                0.00169,                0.37778,                0.00166,                0.00035,                 2.1208,                 3.9811,                 1.6368,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.7642,                 4.5171,                  2.325,                0.00211,                0.04444,                0.00113,                 0.0005,                  2.032,                 3.2112,                 1.6038,               0.001736,               0.001736,               0.001736
                     23,                 2.7711,                 4.5173,                  2.229,                0.00528,                0.42222,                0.01904,                0.00282,                 2.2041,                 3.4279,                  1.672,              0.0017228,              0.0017228,              0.0017228
                     24,                 2.7071,                 4.3425,                 2.2097,                0.00513,                0.04444,                0.01578,                0.00232,                 2.1189,                 3.4676,                  1.689,              0.0017096,              0.0017096,              0.0017096
                     25,                 2.7984,                 4.5283,                 2.2456,                0.00146,                    0.2,                0.00228,                 0.0004,                 2.1439,                 3.7178,                 1.8018,              0.0016964,              0.0016964,              0.0016964
                     26,                 2.5082,                 4.3082,                   2.07,                0.00379,                0.55556,                 0.0177,                0.00434,                 1.9914,                 3.6292,                 1.6604,              0.0016832,              0.0016832,              0.0016832
                     27,                 2.6841,                 4.5897,                 2.1964,                0.00193,                0.28889,                0.00668,                0.00178,                 1.9648,                 3.5704,                 1.5705,                0.00167,                0.00167,                0.00167
                     28,                 2.5576,                 4.3184,                 2.0867,                0.00391,                0.55556,                0.01937,                0.00426,                 1.9403,                 3.5508,                 1.5178,              0.0016568,              0.0016568,              0.0016568
                     29,                 2.6141,                 4.3647,                 2.1964,                0.00379,                0.24444,                0.02993,                 0.0039,                 1.9728,                 3.2835,                  1.712,              0.0016436,              0.0016436,              0.0016436
                     30,                 2.7158,                 4.4556,                 2.3007,                 0.0045,                    0.4,                0.00523,                0.00147,                 2.0641,                 3.4935,                 1.6799,              0.0016304,              0.0016304,              0.0016304
                     31,                 2.6541,                 4.4994,                 2.2284,                0.00508,                0.17778,                0.00353,                0.00114,                 1.9845,                 3.1659,                 1.7039,              0.0016172,              0.0016172,              0.0016172
                     32,                 2.4579,                 4.4189,                 2.0736,                0.00194,                0.37778,                0.00717,                0.00167,                 2.1059,                 3.7207,                 1.7166,               0.001604,               0.001604,               0.001604
                     33,                 2.7597,                 4.4946,                 2.3199,                0.00364,                0.37778,                0.01177,                0.00364,                 2.0204,                 3.2573,                 1.6193,              0.0015908,              0.0015908,              0.0015908
                     34,                 2.4767,                 4.4293,                 2.0956,                 0.0039,                    0.4,                 0.0073,                0.00192,                 2.0498,                 3.3551,                 1.6291,              0.0015776,              0.0015776,              0.0015776
                     35,                 2.6045,                 4.4462,                 2.2285,                0.00965,                0.24444,                0.00787,                0.00214,                 2.0859,                 3.1782,                 1.7799,              0.0015644,              0.0015644,              0.0015644
                     36,                 2.4909,                 4.4542,                 2.1582,                0.00429,                0.42222,                0.00882,                 0.0027,                 1.9667,                 3.3408,                 1.7359,              0.0015512,              0.0015512,              0.0015512
                     37,                 2.4126,                 4.2366,                 2.0751,                0.00245,                0.31111,                 0.0089,                 0.0022,                 1.9425,                 3.5248,                 1.6914,               0.001538,               0.001538,               0.001538
                     38,                 2.5997,                 4.5582,                 2.1559,                0.00521,                0.51111,                0.02881,                0.00851,                 1.9671,                  3.175,                 1.7095,              0.0015248,              0.0015248,              0.0015248
                     39,                 2.4812,                 4.2858,                 2.1337,                0.00758,                    0.4,                0.02975,                0.00777,                 1.9681,                 3.2039,                 1.6903,              0.0015116,              0.0015116,              0.0015116
                     40,                 2.4002,                 4.2719,                 2.0189,                  0.003,                0.37778,                0.00377,                 0.0012,                 1.9901,                 3.3053,                 1.6928,              0.0014984,              0.0014984,              0.0014984
                     41,                 2.5124,                 4.3619,                 2.1757,                0.00493,                0.35556,                0.01922,                0.00382,                 1.8268,                  3.593,                 2.4518,              0.0014852,              0.0014852,              0.0014852
                     42,                 2.4332,                 4.2453,                 2.1479,                 0.0045,                0.42222,                0.01295,                0.00357,                 2.0006,                 3.2424,                 1.7325,               0.001472,               0.001472,               0.001472
                     43,                 2.4474,                 4.3302,                 2.1865,                0.00477,                0.46667,                0.01571,                0.00442,                 1.8967,                  3.253,                 1.7358,              0.0014588,              0.0014588,              0.0014588
                     44,                 2.3625,                 4.2136,                 2.1305,                0.00743,                0.55556,                0.04282,                0.01391,                 1.9019,                 3.2798,                 1.8176,              0.0014456,              0.0014456,              0.0014456
                     45,                 2.3685,                 3.9769,                 2.0741,                0.01114,                0.51111,                 0.0421,                0.01075,                 1.9149,                 3.0122,                 1.6382,              0.0014324,              0.0014324,              0.0014324
                     46,                 2.3966,                 4.1965,                 2.0558,                0.00875,                0.48889,                0.02176,                0.00585,                 1.9313,                  3.126,                 1.8241,              0.0014192,              0.0014192,              0.0014192
                     47,                 2.3883,                 4.1962,                 2.1353,                0.01247,                0.46667,                0.04558,                 0.0128,                 1.9675,                 3.1276,                 1.6827,               0.001406,               0.001406,               0.001406
                     48,                 2.4285,                   4.21,                 2.2261,                0.01247,                    0.6,                 0.0426,                0.01086,                 1.8147,                 2.9633,                 1.6959,              0.0013928,              0.0013928,              0.0013928
                     49,                 2.3319,                 4.0762,                 2.1051,                0.00302,                0.51111,                0.04818,                0.00826,                 1.7874,                 3.5888,                 1.7653,              0.0013796,              0.0013796,              0.0013796
                     50,                 2.2636,                 3.9127,                 2.0088,                0.00516,                0.42222,                0.10459,                0.02592,                  2.043,                 3.3712,                 1.9196,              0.0013664,              0.0013664,              0.0013664
                     51,                 2.4868,                  4.135,                 2.1867,                0.04814,                0.33333,                0.09644,                0.02045,                 1.9808,                 4.0898,                 1.7387,              0.0013532,              0.0013532,              0.0013532
                     52,                 2.2502,                 3.9894,                 1.9845,                0.07154,                0.28889,                0.04114,                0.01032,                 1.8372,                 3.6788,                 1.6448,                0.00134,                0.00134,                0.00134
                     53,                 2.1841,                 3.9814,                 1.9283,                0.01964,                0.31111,                0.02382,                0.00425,                 1.9507,                 3.2848,                 1.7205,              0.0013268,              0.0013268,              0.0013268
